Title,URL,Created,Updated,Labels
<search> element,https://github.com/mozilla/standards-positions/issues/610,2022-02-04T17:51:08Z,2022-02-07T09:22:23Z,whatwg
"Request for position: blocking=""render"" attribute on <link>, <script> and <style>",https://github.com/mozilla/standards-positions/issues/608,2022-01-14T01:56:36Z,2022-01-24T15:29:10Z,whatwg
Request for position: mix-blend-mode: plus-lighter,https://github.com/mozilla/standards-positions/issues/607,2022-01-05T14:46:58Z,2022-01-05T14:46:58Z,
[css-values-4] Small/large/dynamic/logical viewport units,https://github.com/mozilla/standards-positions/issues/605,2021-12-15T13:56:40Z,2021-12-16T08:10:45Z,w3c
"Request for Position: Allow infinity, -infinity and NaN in CSS calc()",https://github.com/mozilla/standards-positions/issues/602,2021-12-11T08:20:49Z,2021-12-13T08:12:06Z,w3c
Request for position: Canvas2D Layers,https://github.com/mozilla/standards-positions/issues/600,2021-12-08T20:35:52Z,2021-12-09T20:43:57Z,whatwg
Request for position: Markup based Client Hints delegation for third-party content,https://github.com/mozilla/standards-positions/issues/596,2021-11-29T17:38:48Z,2022-03-16T09:24:13Z,
Request for position: minPinLength in WebAuthn,https://github.com/mozilla/standards-positions/issues/595,2021-11-19T23:47:20Z,2021-11-22T08:11:00Z,
preserve-parent-color value for forced-color-adjust CSS property,https://github.com/mozilla/standards-positions/issues/591,2021-11-05T22:15:15Z,2022-01-26T09:43:54Z,
Request for Position: Subresource loading with Web Bundles,https://github.com/mozilla/standards-positions/issues/590,2021-11-04T00:53:39Z,2021-11-30T19:41:22Z,
Request for Position: HDR CSS Media Queries,https://github.com/mozilla/standards-positions/issues/584,2021-10-07T20:50:33Z,2021-10-12T21:05:05Z,w3c
Request for position on MSE-for-WebCodecs,https://github.com/mozilla/standards-positions/issues/582,2021-10-01T12:42:43Z,2021-10-08T10:33:09Z,w3c
Request for position on css-easing-2 linear() syntax,https://github.com/mozilla/standards-positions/issues/571,2021-08-24T20:48:52Z,2021-08-26T04:40:37Z,
Request for position: Secure Payment Confirmation,https://github.com/mozilla/standards-positions/issues/570,2021-08-24T13:51:20Z,2022-01-30T15:08:27Z,
Network Information API reboot: request for early feedback,https://github.com/mozilla/standards-positions/issues/569,2021-08-20T14:47:13Z,2021-09-07T15:22:13Z,
Request for Position: Web App Launch Handling,https://github.com/mozilla/standards-positions/issues/567,2021-08-18T09:06:49Z,2021-08-24T08:04:13Z,
Request for Position: URLPattern,https://github.com/mozilla/standards-positions/issues/566,2021-08-13T20:05:03Z,2021-09-09T14:11:30Z,"whatwg,proposal"
Request for Position: Capability Delegation,https://github.com/mozilla/standards-positions/issues/565,2021-08-13T16:09:39Z,2021-09-13T13:48:00Z,
Support for font-family: math,https://github.com/mozilla/standards-positions/issues/564,2021-08-13T14:09:56Z,2021-09-06T11:50:12Z,w3c
`supports(<font-technology>)`extended syntax for `@font-face`,https://github.com/mozilla/standards-positions/issues/563,2021-08-09T14:44:18Z,2021-08-09T14:52:26Z,
Request for Position on AccessHandles for the Origin Private File System,https://github.com/mozilla/standards-positions/issues/562,2021-08-09T13:56:53Z,2022-02-11T17:47:20Z,"w3c-cg,whatwg"
Request for Position: EyeDropper API,https://github.com/mozilla/standards-positions/issues/557,2021-07-22T17:21:33Z,2021-09-28T06:25:48Z,w3c-cg
"Request for position on CSS tree-scoped at-rule names and references (for @font-face, @keyframes, etc.)",https://github.com/mozilla/standards-positions/issues/556,2021-07-19T22:24:35Z,2021-07-20T12:11:52Z,
Request for position on Web App Note Taking,https://github.com/mozilla/standards-positions/issues/555,2021-07-19T07:03:15Z,2021-07-19T07:15:17Z,
Gamepad API button and axis events,https://github.com/mozilla/standards-positions/issues/554,2021-07-16T18:10:00Z,2021-07-16T18:10:00Z,
CSS Color Module Level 4,https://github.com/mozilla/standards-positions/issues/551,2021-07-11T18:14:48Z,2021-07-11T18:14:48Z,
Request for position: PWAs as URL Handlers,https://github.com/mozilla/standards-positions/issues/550,2021-07-07T21:27:05Z,2021-08-31T19:47:45Z,
Request for position on Clipboard API SVG support,https://github.com/mozilla/standards-positions/issues/549,2021-07-03T00:29:30Z,2021-09-29T13:09:53Z,
CSS highlight inheritance (css-pseudo #highlight-cascade),https://github.com/mozilla/standards-positions/issues/548,2021-07-01T08:11:16Z,2021-10-28T12:03:52Z,w3c
Request for position on MSE-in-Workers,https://github.com/mozilla/standards-positions/issues/547,2021-06-30T21:24:44Z,2022-02-16T22:56:34Z,w3c
Scalable Video Coding (SVC) Extension for WebRTC,https://github.com/mozilla/standards-positions/issues/544,2021-06-16T18:35:01Z,2021-10-19T14:36:07Z,
App history API,https://github.com/mozilla/standards-positions/issues/543,2021-06-14T21:35:54Z,2022-03-08T19:51:38Z,whatwg
Multi-Screen Window Placement,https://github.com/mozilla/standards-positions/issues/542,2021-06-14T17:44:30Z,2022-04-11T07:17:11Z,
preferCurrentTab,https://github.com/mozilla/standards-positions/issues/538,2021-06-09T11:08:29Z,2021-06-22T22:21:25Z,
HTMLMediaElement controlsList,https://github.com/mozilla/standards-positions/issues/534,2021-06-03T09:55:12Z,2021-06-04T17:38:47Z,
Virtual Keyboard Control,https://github.com/mozilla/standards-positions/issues/531,2021-05-20T19:11:07Z,2021-06-02T22:45:30Z,
Request for position on Window Controls Overlay,https://github.com/mozilla/standards-positions/issues/529,2021-05-17T14:52:57Z,2021-08-13T01:04:28Z,
Request for Mozilla Position on :has pseudo class,https://github.com/mozilla/standards-positions/issues/528,2021-05-13T12:49:06Z,2022-03-11T17:13:05Z,w3c
User Preference Media Features Client Hints Headers,https://github.com/mozilla/standards-positions/issues/526,2021-05-12T08:36:16Z,2021-08-23T18:27:14Z,
Pickling for Async Clipboard API ,https://github.com/mozilla/standards-positions/issues/525,2021-05-11T20:39:01Z,2021-12-17T13:40:53Z,
Hide shipped-and-finished standards,https://github.com/mozilla/standards-positions/issues/524,2021-05-10T21:59:57Z,2021-05-11T13:19:06Z,
Add JPEG XL entry,https://github.com/mozilla/standards-positions/pull/523,2021-05-10T12:50:30Z,2022-02-22T09:44:26Z,
Request for position: JPEG XL,https://github.com/mozilla/standards-positions/issues/522,2021-05-07T06:53:22Z,2021-12-30T16:52:54Z,
Request for position: Compute Pressure API,https://github.com/mozilla/standards-positions/issues/521,2021-05-05T18:18:35Z,2021-05-06T07:26:58Z,
Request for Position: Declarative Link Capturing,https://github.com/mozilla/standards-positions/issues/520,2021-05-03T04:09:01Z,2021-05-06T07:12:55Z,
CanvasRenderingContext2D API Improvements,https://github.com/mozilla/standards-positions/issues/519,2021-05-01T16:52:47Z,2021-06-12T01:10:38Z,whatwg
Request for Position: Delegated Ink Trails,https://github.com/mozilla/standards-positions/issues/518,2021-04-29T16:10:43Z,2021-06-30T19:55:59Z,
Deprecate cross-origin module sharing.,https://github.com/mozilla/standards-positions/issues/517,2021-04-29T06:58:21Z,2021-04-29T06:58:21Z,
<meta media> (for <meta name=theme-color>),https://github.com/mozilla/standards-positions/issues/514,2021-04-19T20:52:07Z,2021-04-19T20:53:11Z,
Adding FTP related protocols to the registerProtocolHandler safelist. ,https://github.com/mozilla/standards-positions/issues/513,2021-04-15T18:22:50Z,2021-04-19T07:42:26Z,whatwg
Request for position: contain-intrinsic-size auto & longhands,https://github.com/mozilla/standards-positions/issues/512,2021-04-15T17:35:19Z,2021-11-11T00:56:01Z,w3c
ALPS + ACCEPT_CH HTTP/2 and HTTP/3 frames,https://github.com/mozilla/standards-positions/issues/510,2021-04-05T23:23:54Z,2022-03-16T09:24:13Z,
adaptivePtime property for RTCRtpEncodingParameters,https://github.com/mozilla/standards-positions/issues/508,2021-03-29T09:38:12Z,2021-04-22T00:27:03Z,
Handwriting Recognition API,https://github.com/mozilla/standards-positions/issues/507,2021-03-29T00:58:46Z,2021-03-29T00:58:46Z,
Federated Learning of Cohorts,https://github.com/mozilla/standards-positions/issues/506,2021-03-26T02:36:42Z,2021-03-26T02:36:42Z,
Managed Configuraion for Web Apps,https://github.com/mozilla/standards-positions/issues/505,2021-03-26T01:54:08Z,2021-03-26T01:54:08Z,
Add video conferencing actions to the Media Session API spec,https://github.com/mozilla/standards-positions/issues/504,2021-03-24T23:14:40Z,2021-03-25T08:15:54Z,
Aligning high-resolution timer granularity to cross-origin isolated capability,https://github.com/mozilla/standards-positions/issues/502,2021-03-17T10:44:50Z,2021-03-17T11:21:19Z,w3c
Honor media HTML attribute for link manifest,https://github.com/mozilla/standards-positions/issues/500,2021-03-12T09:08:46Z,2021-04-12T09:47:24Z,whatwg
Add an id member to Web App Manifest to uniquely identify a web app,https://github.com/mozilla/standards-positions/issues/493,2021-02-24T18:40:32Z,2021-10-01T07:16:06Z,w3c
Richer Install UI for PWAs,https://github.com/mozilla/standards-positions/issues/492,2021-02-24T17:39:52Z,2021-03-27T17:28:21Z,w3c
CSS scrollbar-gutter,https://github.com/mozilla/standards-positions/issues/488,2021-02-22T09:17:09Z,2021-07-16T07:07:42Z,w3c
WebXR Depth Sensing Module,https://github.com/mozilla/standards-positions/issues/487,2021-02-16T23:15:20Z,2021-03-18T19:59:34Z,w3c
Clipboard DataTransfer read-only files,https://github.com/mozilla/standards-positions/issues/484,2021-02-12T00:19:19Z,2021-07-08T22:05:39Z,w3c
New html attribute indicating searchability in hidden content,https://github.com/mozilla/standards-positions/issues/483,2021-02-11T22:31:40Z,2021-02-25T16:22:53Z,
Custom Highlight API,https://github.com/mozilla/standards-positions/issues/482,2021-02-11T21:28:32Z,2021-02-12T16:58:27Z,w3c
Critical CH: Client Hints Reliability mechanism,https://github.com/mozilla/standards-positions/issues/479,2021-01-27T12:23:25Z,2021-01-28T14:40:35Z,"ietf,w3c-cg"
JS Self-Profiling API,https://github.com/mozilla/standards-positions/issues/477,2021-01-15T21:28:24Z,2021-07-26T21:38:02Z,w3c-cg
Storage Buckets API,https://github.com/mozilla/standards-positions/issues/475,2021-01-14T21:14:17Z,2021-03-12T17:05:58Z,w3c-cg
WebXR dynamic viewport scaling,https://github.com/mozilla/standards-positions/issues/473,2021-01-12T02:17:37Z,2021-03-12T09:02:32Z,w3c
CSS @scope,https://github.com/mozilla/standards-positions/issues/472,2021-01-11T14:30:41Z,2021-01-20T17:21:59Z,w3c
CSS spelling and grammar features,https://github.com/mozilla/standards-positions/issues/470,2021-01-06T09:18:05Z,2021-07-01T08:20:49Z,w3c
Location.ancestorOrigins,https://github.com/mozilla/standards-positions/issues/466,2020-12-14T20:21:42Z,2021-03-12T08:05:58Z,whatwg
Forced Colors Mode,https://github.com/mozilla/standards-positions/issues/463,2020-12-10T21:58:02Z,2021-03-12T08:22:01Z,w3c
Support for overflow-clip-margin,https://github.com/mozilla/standards-positions/issues/462,2020-12-07T21:21:55Z,2021-03-08T15:19:48Z,w3c
Web Authentication ResidentKeyRequirement and credProps,https://github.com/mozilla/standards-positions/issues/456,2020-11-09T23:00:50Z,2021-03-25T13:17:09Z,w3c
Pointer Lock Unadjusted Movement Option.,https://github.com/mozilla/standards-positions/issues/448,2020-10-05T19:28:33Z,2021-03-12T09:06:55Z,w3c
Standards position request: display_override in WebManifest,https://github.com/mozilla/standards-positions/issues/447,2020-10-02T15:15:55Z,2021-03-12T08:22:35Z,w3c-cg
Heavy Ad Intervention,https://github.com/mozilla/standards-positions/issues/436,2020-09-10T00:59:19Z,2021-03-12T08:05:25Z,"whatwg,proposal appears stale"
droppedEntriesCount in PerformanceObserverCallback,https://github.com/mozilla/standards-positions/issues/434,2020-08-31T16:00:39Z,2021-08-20T21:42:46Z,w3c
Transferable Streams,https://github.com/mozilla/standards-positions/issues/430,2020-08-14T02:54:59Z,2022-01-12T09:31:05Z,whatwg
Scoped Custom Elements Registries,https://github.com/mozilla/standards-positions/issues/424,2020-08-06T18:45:37Z,2021-03-12T07:58:43Z,proposal
Payment Handler API (defer),https://github.com/mozilla/standards-positions/pull/420,2020-08-06T02:36:44Z,2021-01-15T11:27:04Z,
CSS Images 4: cross-fade(),https://github.com/mozilla/standards-positions/issues/417,2020-08-05T03:42:40Z,2021-01-04T09:32:20Z,w3c
Constant bitrate audio encoding with MediaRecorder,https://github.com/mozilla/standards-positions/issues/414,2020-07-30T13:47:07Z,2020-08-04T14:27:19Z,w3c
Make system color keywords compute to themselves,https://github.com/mozilla/standards-positions/issues/413,2020-07-29T20:37:21Z,2020-10-05T21:02:30Z,w3c
WebXR Layers API,https://github.com/mozilla/standards-positions/issues/412,2020-07-29T16:19:51Z,2020-08-05T08:39:22Z,w3c
"Pointer Events, azimuthAngle and altitudeAngle",https://github.com/mozilla/standards-positions/issues/411,2020-07-28T17:38:45Z,2020-08-05T08:29:44Z,w3c
"add Media Queries Level 5: prefers-reduced-motion, prefers-contrast, …",https://github.com/mozilla/standards-positions/pull/410,2020-07-28T05:54:41Z,2021-01-15T11:27:03Z,
EME persistent-usage-record session,https://github.com/mozilla/standards-positions/issues/407,2020-07-23T21:57:03Z,2020-07-23T22:24:58Z,w3c
Local Font Access API,https://github.com/mozilla/standards-positions/issues/401,2020-07-21T19:05:31Z,2022-04-22T12:12:05Z,w3c-cg
"Media Queries Level 5: prefers-reduced-motion, prefers-contrast, prefers-color-scheme",https://github.com/mozilla/standards-positions/issues/393,2020-07-13T23:05:44Z,2021-03-12T07:57:19Z,w3c
First Input Delay,https://github.com/mozilla/standards-positions/issues/387,2020-07-07T20:29:01Z,2020-08-14T01:14:41Z,"w3c,w3c-cg"
Cumulative Layout Shift,https://github.com/mozilla/standards-positions/issues/386,2020-07-07T20:11:42Z,2020-08-04T20:41:20Z,w3c
consider replacing caniuse links with MDN links,https://github.com/mozilla/standards-positions/issues/375,2020-06-24T19:40:56Z,2020-06-25T00:26:17Z,enhancement
Add keyboard lock (harmful).,https://github.com/mozilla/standards-positions/pull/353,2020-06-01T18:36:52Z,2021-01-15T11:27:03Z,
WebXR Anchors Module,https://github.com/mozilla/standards-positions/issues/351,2020-05-29T01:44:07Z,2020-06-25T02:48:27Z,w3c-cg
Digital Goods API,https://github.com/mozilla/standards-positions/issues/349,2020-05-27T10:04:45Z,2022-04-15T01:00:07Z,"w3c-cg,awaiting feedback"
Scroll-linked Animations,https://github.com/mozilla/standards-positions/issues/347,2020-05-26T12:04:55Z,2020-06-08T04:02:45Z,"w3c,awaiting feedback"
URL Protocol Handler Registration for web apps,https://github.com/mozilla/standards-positions/issues/340,2020-05-19T01:18:45Z,2021-08-13T01:06:26Z,"w3c,w3c-cg"
Add new safelisted schemes for registerProtocolHandler(),https://github.com/mozilla/standards-positions/issues/339,2020-05-16T07:56:33Z,2022-03-11T20:02:59Z,"whatwg,under review"
shortcuts member of Web App Manifest,https://github.com/mozilla/standards-positions/issues/338,2020-05-13T20:27:33Z,2021-10-19T00:20:04Z,w3c
Request for Mozilla Position on performance.measureMemory API,https://github.com/mozilla/standards-positions/issues/281,2020-02-25T14:38:27Z,2021-05-19T15:27:54Z,"w3c-cg,under review"
Consider adding a `mixed` status,https://github.com/mozilla/standards-positions/issues/249,2020-01-14T22:29:06Z,2020-01-16T02:34:08Z,policy
EME Extension: HDCP Policy Check,https://github.com/mozilla/standards-positions/issues/243,2020-01-13T20:01:07Z,2020-04-03T22:13:03Z,"w3c-cg,under review"
Consider renaming worth prototyping (or adding a label),https://github.com/mozilla/standards-positions/issues/242,2020-01-13T13:26:51Z,2020-07-21T11:35:31Z,policy
`timezonechange` event,https://github.com/mozilla/standards-positions/issues/241,2020-01-09T08:56:22Z,2020-08-14T13:34:24Z,"whatwg,awaiting feedback"
ARIA IDL interface/reflection (non-IDREF),https://github.com/mozilla/standards-positions/issues/211,2019-10-30T00:39:24Z,2020-04-21T01:24:43Z,"whatwg,under review"
Reflecting IDREF/IDREF list ARIA attributes to element references,https://github.com/mozilla/standards-positions/issues/200,2019-09-04T07:03:56Z,2020-07-21T10:09:09Z,"whatwg,proposal appears unstable"
EditContext,https://github.com/mozilla/standards-positions/issues/199,2019-08-30T16:50:48Z,2022-04-21T22:11:01Z,w3c
Keyboard Lock,https://github.com/mozilla/standards-positions/issues/196,2019-07-30T16:58:02Z,2020-06-17T05:23:50Z,w3c-cg
Element Timing API,https://github.com/mozilla/standards-positions/issues/192,2019-07-19T21:23:49Z,2021-10-22T20:03:06Z,w3c-cg
PenEvents 🖋,https://github.com/mozilla/standards-positions/issues/190,2019-07-17T23:29:45Z,2020-08-06T14:22:49Z,w3c-cg
Autoplay Policy Detection,https://github.com/mozilla/standards-positions/issues/186,2019-07-11T12:53:39Z,2019-07-12T02:20:52Z,w3c
Media Playback Quality,https://github.com/mozilla/standards-positions/issues/185,2019-07-11T12:51:07Z,2019-07-12T11:04:30Z,w3c
Media Capabilities,https://github.com/mozilla/standards-positions/issues/184,2019-07-11T12:47:56Z,2020-01-13T13:24:16Z,w3c
Presentation API,https://github.com/mozilla/standards-positions/issues/180,2019-07-05T09:50:52Z,2022-03-17T11:29:08Z,w3c
Open UI,https://github.com/mozilla/standards-positions/issues/177,2019-06-25T07:57:42Z,2020-07-21T10:22:28Z,w3c-cg
Long Tasks API 1,https://github.com/mozilla/standards-positions/issues/171,2019-06-24T14:42:51Z,2020-04-20T12:04:09Z,w3c
Web Speech API,https://github.com/mozilla/standards-positions/issues/170,2019-06-21T23:08:03Z,2020-06-24T15:38:12Z,"w3c-cg,under review"
CSS Animation Worklet API,https://github.com/mozilla/standards-positions/issues/168,2019-06-20T17:57:35Z,2019-09-20T11:24:15Z,w3c
Content Indexing,https://github.com/mozilla/standards-positions/issues/166,2019-06-19T08:13:32Z,2020-04-21T14:30:43Z,w3c-cg
PointerRawUpdate,https://github.com/mozilla/standards-positions/issues/164,2019-06-03T14:58:01Z,2020-06-06T00:06:00Z,w3c
Pan/Tilt addition to MediaStream Image Capture,https://github.com/mozilla/standards-positions/issues/159,2019-05-08T18:14:04Z,2019-05-08T18:54:30Z,w3c
isInputPending API,https://github.com/mozilla/standards-positions/issues/155,2019-04-27T00:40:31Z,2020-10-13T02:03:17Z,w3c-cg
SMS OTP Retriever / SMS verification / Sign up API,https://github.com/mozilla/standards-positions/issues/152,2019-04-24T22:07:58Z,2020-06-23T02:15:57Z,w3c-cg
JavaScript Standard Library Proposal (Builtin Modules),https://github.com/mozilla/standards-positions/issues/147,2019-03-14T13:06:17Z,2019-07-19T15:31:40Z,ecma
content-visibility API,https://github.com/mozilla/standards-positions/issues/135,2019-01-30T12:15:07Z,2020-08-06T16:11:09Z,"w3c-cg,under review"
Media timed events API for MPEG DASH MPD,https://github.com/mozilla/standards-positions/issues/122,2018-12-13T03:37:11Z,2018-12-13T04:38:41Z,w3c-cg
Container Queries,https://github.com/mozilla/standards-positions/issues/118,2018-12-05T20:18:47Z,2022-02-09T20:16:56Z,w3c-cg
IntersectionObserver V2: Detecting occlusion and visual effects,https://github.com/mozilla/standards-positions/issues/109,2018-11-09T22:03:51Z,2019-03-29T00:20:13Z,w3c
Network Error Logging (NEL),https://github.com/mozilla/standards-positions/issues/99,2018-07-26T18:39:18Z,2021-10-06T08:43:43Z,w3c
Cookie-Store API,https://github.com/mozilla/standards-positions/issues/94,2018-06-25T18:06:38Z,2022-03-03T14:11:26Z,w3c-cg
Notifications API: inline replies,https://github.com/mozilla/standards-positions/issues/91,2018-06-04T06:35:13Z,2019-11-19T14:36:26Z,"whatwg,proposal appears stale"
RFP: Clipboard API,https://github.com/mozilla/standards-positions/issues/89,2018-05-09T18:02:29Z,2021-09-29T12:55:57Z,w3c
Page Lifecycle,https://github.com/mozilla/standards-positions/issues/87,2018-05-02T09:53:16Z,2021-01-30T08:56:41Z,w3c-cg
HTML: find in page API,https://github.com/mozilla/standards-positions/issues/83,2018-04-13T07:20:20Z,2019-11-19T14:36:55Z,"whatwg,proposal appears stale"
RFP: Improving Ergonomics Of Events With Observable (WHATWG),https://github.com/mozilla/standards-positions/issues/76,2018-03-19T17:55:42Z,2019-11-19T13:56:50Z,"whatwg,proposal appears stale"
RFP: WebMIDI,https://github.com/mozilla/standards-positions/issues/58,2018-02-27T22:38:57Z,2019-10-01T02:30:39Z,w3c
RFP: Gamepad Haptics,https://github.com/mozilla/standards-positions/issues/49,2017-11-10T23:35:47Z,2021-07-13T03:59:41Z,"w3c-cg,proposal appears stale"
RFP: IndexedDB Observers,https://github.com/mozilla/standards-positions/issues/32,2017-09-28T03:46:02Z,2019-11-19T14:07:17Z,"w3c-cg,proposal appears stale"
RFP: Background Fetch ,https://github.com/mozilla/standards-positions/issues/30,2017-09-27T07:27:40Z,2020-04-15T10:19:44Z,"w3c-cg,under review"
Media Session API,https://github.com/mozilla/standards-positions/issues/28,2017-09-27T07:15:43Z,2020-07-21T11:33:22Z,w3c
RFP: Payment Handler API,https://github.com/mozilla/standards-positions/issues/23,2017-09-27T06:46:43Z,2020-09-11T06:03:56Z,w3c
activities.py loses paragraph breaks from abstract,https://github.com/mozilla/standards-positions/issues/8,2017-09-22T01:33:58Z,2018-02-08T23:52:47Z,bug
